Name;Action;Industry;Company;Текущее имя
Grid Dynamics;close offices in Russia &amp, cease all operations;Information Technology;United States;None
Grundfos;Closes business in Russia and Belarus;Industrials;Denmark;None
H&amp,M;Winding down business entirely;Consumer Discretionary;Sweden;None
Halewood;Fully pull out of Russia;Consumer Staples;United Kingdom;None
Halliburton;No longer conducts operations in Russia;Energy;United States;None
Halyk Bank;Fully exit Russia after selling its operations;Financials;Kazakhstan;None
Hampidjan;full withdrawal;Industrials;Iceland;None
Haniel;unwind all Russian business;Materials;Germany;None
Hansgrohe;cease all activities with Russia;Consumer Discretionary;Germany;None
Hard Rock Café;fully close all stores in Russia;Consumer Staples;United States;None
Harvia;Withdrew from Russia;Consumer Discretionary;Finland;None
Hays plc;close Russian business;Industrials;United Kingdom ;None
Hearst Communications;terminate the licensing agreements &amp, turn over its equity to Russian subsidiary;Communication Services;United States;None
Heidrick &amp, Struggles;ceased all operations in Russia;Industrials;United States;None
Heinzmann;End all Russian deliveries;Industrials;Germany;None
Hempel;exit Russia;Industrials;Denmark;None
Henkel;exit business activities in Russia;Consumer Staples;Germany;None
Herbert Smith Freehills;Ended operations in Russia, local partners and counsels open independent firm;Industrials;Australia;None
Hertz;completely withdrawn from Russia;Consumer Discretionary;United States;None
Hesburger;withdraw from Russia;Consumer Discretionary;Finland;None
Hogan Lovells;exit Russian operations;Industrials;United Kingdom ;None
Holcim;exit Russian market completely;Materials;Switzerland ;None
Home Credit;Fully exit Russia after selling its operations;Financials;Czech Republic;None
Honeywell;Wind down all business;Industrials;United States;None
Hortex;Fully exit Russia after selling its operations;Consumer Staples;Poland;None
Houthoff;terminate all relationships with Russia;Industrials;Netherlands;None
HP Enterprise (Independent from HP Inc.);exit Russia &amp, Belarus;Information Technology;United States;None
HP Inc.;shut down business in Russia;Information Technology;United States;None
Huhtamaki;divest Russian operations;Materials;Finland;None
Hypertherm Associates;Fully close all Russian offices;Industrials;Netherlands;None
Hyve;Withdrew from Russia;Consumer Discretionary;United Kingdom;None
IBM;wind down business in Russia;Information Technology;United States;None
Icosagen;Ended business in Russia and Belarus;Industrials;Estonia;None
IDEXX Labs;wind down operations &amp, liquidate subsidiary;Health Care;United States;None
Ikea;fold up Russian presence;Consumer Discretionary;Sweden;None
IMAX;Fully exit Russia  ;Consumer Discretionary;Canada;None
IMCD;withdraw from Russia completely;Industrials;Netherlands;None
IMI Plc;Withdrew from Russia;Materials;United Kingdom;None
Imperial Brands;transfer Russian business to local partners;Consumer Staples;United Kingdom ;None
Inchcape;Withdrew from Russia;Industrials;United Kingdom;None
Incoff Aerospace;no longer trade with the Russians;Industrials;Slovakia;None
Inditex;close Russian stores and suspend sales;Consumer Discretionary;Spain;None
Infineon;liquidate Russian entity;Information Technology;Germany;None
InPost;stop purchasing services/goods from Russian &amp, Belorussian companies;Industrials;Poland;None
Insydium;Forgo all Russian licenses;Industrials;United Kingdom;None
Intercontinental Exchange;curtail Russian access to capital markets;Financials;United States;None
Intercontinental Hotels (IHG);Ceased operations in Russia;Consumer Discretionary;United Kingdom ;None
International Biathlon Union;Russians to compete as neutral athletes;NGO;Austria;None
International Boxing Federation;ban on all Russian competition;NGO;France;None
International Cat Federation;ban Russian cats from competitions;NGO;Canada;None
International Cycling Union;ban on all Russian competition;NGO;United States;None
International Ice Hockey Federation;ban on all Russian competition;NGO;Switzerland ;None
International Olympic Committee;ban Russian athletes from competing;NGO;Switzerland ;None
International Paper;Fully exit Russia after selling its operations;Materials;United States;None
International Paralympic Committee;bar Russian athletes;NGO;Germany;None
International Skating Union;ban on all Russian competition;NGO;Switzerland ;None
International Weightlifting Federation;ban on all Russian competition;NGO;Switzerland ;None
Interpublic Group;exit Russian operations;Communication Services;United States;None
Intracom Telecom;Withdrew from Russia;Communication Services;Greece;None
Iponweb;Withdrew from Russia;Communication Services;France;None
ISS;ISS divested its Russian activities during March and is no longer active in Russia;Industrials;Denmark;None
Iveco;Fully exit Russia after selling its operations;Industrials;Italy;None
J Sainsbury;remove products from Russia;Consumer Staples;United Kingdom ;None
Jabil;closed its site in Russia;Information Technology;United States;None
Jägermeister;Fully stopped business in Russia;Consumer Staples;Germany;None
Jamie Oliver;exit franchise agreement;Consumer Staples;United Kingdom ;None
Jan de Nul;close rep office and withdraw ships;Industrials;Luxembourg;None
JD Sports;suspend operations in Russia;Consumer Discretionary;United Kingdom ;None
JetBrains;suspend all activity indefinitely;Information Technology;Czech Republic;None
JLL;separate operations in Russia;Real Estate;United States;None
John Wood Group;withdraw from Russia;Industrials;United Kingdom ;None
Johnson Matthey;leave Russia and end all business there;Materials;United Kingdom;None
Jotun;Suspend business in Russia;Materials;Norway;None
JYSK;temporarily close Russian stores;Consumer Discretionary;Denmark;None
Kalnapilis-Taurus;termination of export ties and production in Russian Market;Consumer Staples;Lithuania;None
Kamstrup;Completely exit Russia;Utilities;Denmark;None
Kearney;officially withdrawn from Russia;Industrials;United States;None
Kelly;leave Russia &amp, transition operations ;Industrials;United States;None
Kemira;exit Russia completely;Consumer Discretionary;Finland;None
Kennametal;Completely exit Russia;Industrials;United States;None
Kennedys;Fully exit Russia  ;Industrials;United States;None
Kiilto;fully exited from Russia;Materials;Finland;None
Kingspan;exit Russia;Industrials;Ireland;None
Kinross Gold;complete exit from Russia by selling Russian operations ;Materials;Canada;None
KION Group;Fully exit Russia after selling its operations;Industrials;Germany;None
KLP;exit all investment holdings in Russia;Financials;Norway;None
Knorr-Bremse;will not deliver any more products or systems for Russian locomotives, end JVs;Industrials;Germany;None
Koch Industries;sell Russian business to a local enterprise;Industrials;United States;None
Kofax;curtail all sales of software and close sites in Russia;Information Technology;United States;None
Koskisen;Fully exit Russia after selling its operations;Industrials;Finland;None
KPMG;leaving Russia completely;Industrials;United States;None
Krispy Kreme;winding down business in Russia;Consumer Discretionary;United States;None
L'Occitane;exit Russian operations;Consumer Discretionary;France;BeBeautiful
Lamb Weston;exit Russian market;Consumer Staples;United States;None
Latham &amp, Watkins;wind down Russian presence;Industrials;United States;None
Lear Corporation;fully exit Russia;Consumer Discretionary;United States;None
Legrand;Left Russia ;Industrials;France;None
Lifan;Fully exit Russia  ;Consumer Discretionary;China;None
Lincoln Electric;ceased all operations;Industrials;United States;None
Lindab;Fully exit Russia after selling its operations;Industrials;Sweden;None
Lindstrom Group;Withdrew from Russia;Consumer Discretionary;Finland;None
Lindt-Sprungli;suspend operations in Russia;Consumer Staples;Switzerland ;None
Linklaters;end operations in Russia, with entities connected to the Russian state, local partners and counsel form own firm;Industrials;United Kingdom ;None
Lloyd's Register;withdraw services to Russia;Industrials;United Kingdom ;None
Logitech;suspend shipments to Russia;Information Technology;Switzerland ;None
London Stock Exchange Group;curtail Russian access to capital markets;Financials;United Kingdom ;None
LPP Group;left Russia;Consumer Discretionary;Poland;None
Lufthansa;suspended flights and ended Russian aircraft maintenance;Industrials;Germany;None
Luxoft;exit Russian market;Information Technology;Switzerland ;None
LVMH;end all operations in Russia;Consumer Discretionary;France;None
LyondellBasell;end all business;Materials;Netherlands;None
MAN;end delivery, supply of trucks, and sales to Russia;Industrials;Germany;None
Mannheimer Swartling;end all operations;Industrials;Sweden;None
Mantsinen;Fully exit Russia after selling its operations;Industrials;Finland;None
Marsh McLennan;exit operations in Russia;Financials;United States;None
Marugame;Fully exit Russia and end all franchises operating in Russia;Consumer Staples;Japan;None
Maxima;Fully remove all Russian products and end Russian business;Consumer Discretionary;Lithuania;None
Mayr-Melnhof;Fully exit Russia after selling its operations;Materials;United Kingdom;None
McCain Foods;end operations in Russia;Consumer Staples;Canada;None
McDonald's;leave the Russian market &amp, sell Russian business;Consumer Discretionary;United States;Вкусно – и точка
McKinsey;exit Russian market completely;Industrials;United States;None
Mercedes-Benz;Stopped manufacturing and exporting and will sell shares in subsidies;Consumer Discretionary;Germany;None
MessageBird;shut down API access, block SMS and voice traffic to Russian carriers;Information Technology;Netherlands;None
Mondi;sell Russian assets;Materials;United Kingdom ;None
Monroe Energy;stop imports of Russian crude oil;Energy;United States;None
Moog Inc.;exit Russian operations;Industrials;United States;None
Moose Toys;Ended all shipments to Russia;Consumer Discretionary;Australia;None
Morgan Advanced Materials;cease all trading with Russia.;Industrials;United Kingdom ;None
Morgan Lewis;close Russian offices;Industrials;United States;None
Morrisons;remove products from Russia;Consumer Staples;United Kingdom ;None
MSCI;curtail Russian access to capital markets;Financials;United States;None
MSU S.A.;ceased all business activities in Russia;Consumer Discretionary;Poland;None
Nasdaq;curtail Russian access to capital markets;Financials;United States;None
Naspers;Ended Operations. Sold Avito.;Consumer Discretionary;South Africa;None
NCAB Group AB;sold assets and ceased operations in Russia;Industrials;Sweden;None
Nemiroff;Revoke all licenses related to Russia and end all business there;Consumer Staples;Ukraine;None
Netflix;suspend service in Russia;Communication Services;United States;None
Netscout;pause all sales, support, and services in Russia;Information Technology;United States;None
Next;Fully wind down Russian business;Consumer Discretionary;United Kingdom;None
Nike;exit Russia;Consumer Discretionary;United States;None
Nissan;Exit from Russian Market;Consumer Discretionary;Japan;None
Nokia;pulling out of Russia completely;Information Technology;Finland;None
Nokian Tyres;meaningfully reduce production in Russia;Consumer Discretionary;Finland;None
Norton Rose Fulbright;exit from Russia;Industrials;United Kingdom ;None
Norwegian Cruise Lines;discontinue Russian itineraries;Consumer Discretionary;United States;None
NTT Data;exit Russia;Information Technology;Japan;None
OBI;Fully exit Russia after selling its operations;Consumer Discretionary;Germany;ОБИ
Oceania Cruises;discontinue Russian itineraries;Consumer Discretionary;United States;None
Oerlikon;sell Russian operations;Materials;Switzerland ;None
Olam Group;divest Russian operations;Consumer Staples;Singapore;None
Omnicom Media Group;exit Russian operations ;Communication Services;United States;None
Omron;fully wind down Russian business;Information Technology;Japan;None
OneWeb;suspend use of Russian airspace;Communication Services;United States;None
Orica;Fully exit Russia after selling its operations;Industrials;Australia;None
Orkla;exit Russian operations;Consumer Staples;Norway;None
Orlen Lietuva;stopped Russian oil imports;Energy;Poland;None
Orsted;end all gas purchases from Russia ;Utilities;Denmark;None
Otis Worldwide;fully exit Russia through divesting business;Industrials;United States;None
Owens Corning;expedite exit from Russia ;Industrials;United States;None
Pandora;suspend all business with Russia and Belarus;Consumer Discretionary;Denmark;None
Parker Hannifin;closed our office and warehouse facility in Moscow and no longer do business in this country;Industrials;United States;None
Paul Smith;Leaving Market;Consumer Discretionary;United Kingdom ;None
Paulig;withdraw from Russia;Consumer Staples;Finland;None
Paysera;Close accounts of Russians and halt transfers to and from Russia;Financials;Lithuania;None
Pensioenfonds Detailhandel;sell off all Russian investments;Financials;Netherlands;None
Pentair;exiting its business in Russia;Industrials;United States;None
Petro;Fully exit Russia after selling its operations;Energy;Austria;None
PFZW;divest from all Russian assets;Financials;Netherlands;None
PGL Esports;exclusion of esports teams and individuals with connections to the Russian government from upcoming competition ;Communication Services;United States;None
PHX;Fully exit Russia after selling its operations;Energy;United States;None
Pixabay;block Russian access;Consumer Discretionary;Germany;None
PKO BP;suspends transactions with Russian banks transactions in Russian ruble suspended;Financials;Poland;None
Playrix;Fully end operations in Russia;Consumer Discretionary;Ireland;None
Playtika;end Russian operations;Information Technology;Israel;None
PME pensioenfonds;sell off all Russian investments;Financials;Netherlands;None
Polskie Górnictwo Naftowe i Gazownictwo SA;stopped gaz imports;Energy;Poland;None
Ponsse PLC;divest Russian operations;Industrials;Finland;None
Postnord;reject all Russian items;Utilities;Norway;None
Primo Water;Withdrew from Russia;Consumer Staples;United States;None
Princess Cruises;reject bookings from Russia;Consumer Discretionary;United States;None
Prio;ceased purchase of any products from Russian or directly related companies;Energy;Portugal;None
Publicis Groupe;cede ownership to local affiliates;Communication Services;France;None
Pure Storage;fully wind down Russian business;Information Technology;United States;None
PwC;leaving Russia completely;Industrials;United States;None
PZU SA;reduced position in Russian bonds to zero;Financials;Poland;None
Qantas Airlines;No longer flies over Russian territory;Industrials;Australia;None
R&amp,A;ban on all Russian competition;Industrials;United States;None
Raisio;Fully exit Russia after selling its operations;Consumer Staples;United States;None
Rational ;Closed Russian Business;Consumer Discretionary;Germany;None
Red Hat;discontinue sales and services in Russia &amp, terminate partnerships;Information Technology;United States;None
Reface;Removed App  and updates of app in Russia;Information Technology;Ukraine;None
Refinitiv;end Russian access;Financials;United Kingdom;None
Regent Seven Seas Cruises;discontinue Russian itineraries;Consumer Discretionary;United States;None
Rehau;Fully exit Russia after selling its operations;Consumer Discretionary;Switzerland;None
Renault;sell Renault Russia, transfer Moscow factory to city government and partner for local brand production;Consumer Discretionary;France;Москвич
Repsol;Withdrew from Russia;Energy;Spain;None
Resbud ;Withdrew from Russia;Industrials;Estonia;None
Rewe;remove products from Russia from shelves;Consumer Discretionary;Germany;None
Rimi;remove products from Russia from shelves;Consumer Discretionary;Latvia;None
Rio Tinto;Terminated all commercial relationships with Russia;Materials;Australia;None
Rocket Lawyer;suspend Russian and Belarusian access to the platform ;Information Technology;United States;None
Roku;remove Kremlin-linked propaganda and ads ;Communication Services;United States;None
Roland Berger;end any activity for Russia;Industrials;Germany;None
Royal London;fully divest Russian assets;Financials;United Kingdom;None
Royal Swinkels Family Brewers;Terminated licence contract with MBC;Consumer Staples;Netherlands;None
RWS;Fully wind down Russian business;Industrials;United Kingdom;None
S Group (Suomen Osuuskauppojen Keskuskunta);close all operations;Consumer Staples;Finland;None
S&amp,P 500 [S&amp,P Dow Jones Indices];curtail Russian access to capital markets;Financials;United States;None
Salesforce;exit business relationships in Russia;Industrials;United States;None
Sarantis Group;Permanent withdrawal from Russian market;Consumer Staples;Greece;None
Savills;end partnerships in Russia;Real Estate;United Kingdom ;None
Schneider Electric;sell Russian assets to local management and exit completely;Industrials;France;None
Senior PLC;cease servicing Russian aircraft;Industrials;United Kingdom;None
Shell;total withdrawal from virtually all Russia-related businesses;Energy;United Kingdom ;None
Sidley Austin;end all Russian relationships;Industrials;United States;None
Siemens;exit Russian market;Industrials;Germany;None
SKF;end sales and production in Russia;Industrials;Sweden;None
Slack;exit Russian market completely;Information Technology;United States;None
SMAY;end cooperation with Russia;Industrials;Poland;None
Smurfit Kappa;exit Russian market;Materials;Ireland;None
Societe Generale;cessation of all activities in Russia ;Financials;France;None
Sodexo;ceded control of its operations in Russia;Industrials;France;None
SoftwareOne;Fully exit Russia after selling its operations;Information Technology;Switzerland;None
Sonos;ceased all sales to this market at the onset of the war and blocked Russian state radio;Consumer Discretionary;United States;None
Spin Master;fully exit Russia;Consumer Discretionary;Canada;None
Squire Patton Boggs;leave Russia;Industrials;United States;None
Stanley Black &amp, Decker;shut down Russian business;Industrials;United States;None
Starbucks;exit and no longer have a brand presence in Russia;Consumer Discretionary;United States;None
State Street;curtail Russian access to capital markets;Financials;United States;None
Stora Enso;divest packaging plants;Materials;Finland;None
Storebrand;divest all Russian holdings;Financials;Norway;None
Strabag;winding down operations in Russia, terminating shareholder syndicate agreements with Deripaska;Industrials;Austria;None
Strava;disable access in Russia;Information Technology;United States;None
Sulzer;exit Russian market;Industrials;Switzerland ;None
Svenska Handelsbanken;divest from all Russian investments;Financials;Sweden;None
Sylvamo;Sold operations in Russia;Materials;United States;None
Systembolaget;remove all Russian alcohol from stores;Consumer Discretionary;Sweden;None
Sæplast;Stopped all operations in Russia;Materials;Iceland;None
Tata Steel;Replaced all Russian raw materials for operations, no presence in Russia;Materials;India;None
Tchibo;sell Russian subsidiary;Consumer Staples;Germany;None
TDZ Turn;fully stopped trade with Russia;Industrials;Czech Republic;None
TeamViewer;withdraw from Russia/Belarus;Information Technology;Germany;None
Technip Energies;No new business. Signed exit agreement on Arctic LNG 2;Energy;France;None
Teknos;Fully exit Russia after selling its operations;Industrials;Finland;None
Teknotherm Marine HVAC sp. z o.o.;complete withdrawal from Russia;Industrials;Poland;None
Teleperformance;Withdrew from Russia;Communication Services;France;None
Teradata;stopped all business in Russia and ceased customer interactions and services with all Russian accounts.;Information Technology;United States;None
Tetra Pak;completely left Russia;Industrials;Sweden;None
Tietoevry;conclude total exit from Russia;Information Technology;Finland;None
TJ Maxx;divest Familia subsidiary;Consumer Discretionary;United States;None
Tom Ford;We have ceased all marketing and advertising;Consumer Discretionary;United States;None
Topsoe;Fully wind down all Russian business;Energy;Denmark;None
Toyota;stop production at its St. Petersburg plant and stop imports of vehicles;Consumer Discretionary;Japan;None
Trane Technologies;suspend all business activities indefinitely &amp, exit Russia;Industrials;Ireland;None
TransferGo;End all remittances to Russia;Financials;United Kingdom;None
Trimble;Discontinue business operations in Russia;Information Technology;United States;None
TripAdvisor;remove Kremlin-linked propaganda and ads ;Communication Services;United States;None
Triumph Motorcycles;Discontinued commercial activity in Russia;Consumer Discretionary;United Kingdom;None
TUI;end brand-sharing agreement, had already exited;Consumer Discretionary;Germany;None
Tunnock's;discontinue supplies to Russia;Consumer Staples;United Kingdom ;None
Uber;divest from partnership with Yandex;Information Technology;United States;None
UEFA;ban Russian athletes from competing;NGO;Switzerland ;None
Umbro;withdrawal from the Russian market;Consumer Discretionary;United Kingdom ;None
United Airlines;no flying over Russian airspace;Industrials;United States;None
United Internet Group;suspend all Russian contracts;Information Technology;Germany;None
Universal;closing operations in Russia;Communication Services;United States;None
Uponor ;Completes Exit;Industrials;Finland;None
Vaillant Group;Terminated business activities in Russia ;Industrials;Germany;None
Valio;sell business and Viola brand to Velcom;Consumer Staples;Finland;None
Valmet;exit from Russia;Industrials;Finland;None
Van Oord;Full withdrawal from Russia;Industrials;Netherlands;None
VanEck;liquidate Russian ETFs;Financials;United States;None
Vanguard;suspend operations in Russia ;Financials;United States;None
Velux;permanently close operations in Russia and Belarus;Consumer Discretionary;Denmark;None
Veon;Fully divested from Russia and sale of its Russian business approved;Communication Services;Netherlands;None
Vestas;Fully Withdrawn from Russia ;Energy;Denmark;None
Vianor;terminate contract with Russian subsidiary;Consumer Discretionary;Finland;None
Vičiūnai;selling Russian operations and exiting Russia ;Consumer Staples;Lithuania;None
Vinmonopolet;stop sales of all Russian wine, spirits and strong beers in Norway;Consumer Staples;Norway;None
Vitol;stop buying Russian oil by the end of 2022;Energy;Switzerland ;None
Vodafone;suspend partner agreement with MTS;Information Technology;United Kingdom ;None
Volaris Group;discontinue sales and support to Russia;Information Technology;Canada;None
Volfas Engelman;suspend investment and withdraw from Russian market;Consumer Staples;Lithuania;None
VTG;Fully exit Russia after selling its operations;Industrials;Germany;None
Waitrose;remove products from Russia;Consumer Staples;United Kingdom ;None
Walker's Shortbread;cancel all future orders to Russia;Consumer Staples;United Kingdom ;None
Wallenius Wilhelmsen;End all operations in Russia;Consumer Discretionary;Norway;None
Wargaming;close operations, transfer of some business;Consumer Discretionary;Belarus;None
Wartsila;Ended Activity;Industrials;Finland;None
Wear Medicine;terminate cooperation with Russian partners;Consumer Discretionary;Poland;None
Weir Group;wind down Russian business in 2022;Industrials;United Kingdom ;None
WePlay;terminate all Russian operations;Consumer Discretionary;United States;None
WeWork;planning divestment of Russian operations;Real Estate;United States;None
Wex Inc.;ending relationship with Lukoil and subsidiaries;Information Technology;United States;None
White &amp, Case;wind down Russian operations;Industrials;United States;None
Wienerberger;Fully exit Russia after selling its operations;Industrials;Austria;None
WIKA;Suspended business in Russia;Industrials;Germany;None
Willis Towers Watson;Fully exit Russia and transfer ownership to local management;Financials;United Kingdom ;None
Windstar Cruises;Cancel all Russian cruises;Consumer Discretionary;United States;None
Winston &amp, Strawn;Close Russian office;Industrials;United States;None
Women's Tennis Association;Suspend Russian partnerships;NGO;United States;None
World Athletics Council;Ban on all Russian competition;NGO;United States;None
World Boxing Association;Ban on all Russian competition;NGO;Panama;None
World Boxing Organization;Ban on all Russian competition;NGO;United States;None
World Rowing Federation;Ban on all Russian competition;NGO;United States;None
World Rugby Union;Ban on all Russian competition;NGO;Ireland;None
WPP PLC;leave Russia;Communication Services;United Kingdom ;None
YIT;Exits Russia projects;Industrials;Finland;None
Zepz;Disable all Russian transactions;Financials;United Kingdom ;None
ZET Chemie;still operating in Russia;Materials;Germany;None
Zott;discontinue business in preparation for liquidation ;Consumer Staples;Germany;None
Zurich Insurance Group;sell Russian business to local team and exit market;Financials;Switzerland ;None
